2025-05-23 09:21:22,213 - controllers.app_controller - INFO - 国家情報を追加: TAG=YGR, 名前=ユグラ
2025-05-23 09:21:22,213 - controllers.app_controller - INFO - 国家情報を追加: TAG=YUN, 名前=雲南
2025-05-23 09:21:22,213 - controllers.app_controller - INFO - 国家情報を追加: TAG=AFG, 名前=アフガニスタン
2025-05-23 09:21:22,213 - controllers.app_controller - INFO - 国家情報を追加: TAG=ARM, 名前=アルメニア
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=AZR, 名前=アゼルバイジャン
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=GEO, 名前=グルジア
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=IRQ, 名前=イラク
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=ISR, 名前=イスラエル
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=JOR, 名前=ヨルダン
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=KUR, 名前=クルディスタン
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=KUW, 名前=クウェート
2025-05-23 09:21:22,214 - controllers.app_controller - INFO - 国家情報を追加: TAG=LEB, 名前=レバノン
2025-05-23 09:21:22,215 - controllers.app_controller - INFO - 国家情報を追加: TAG=OMA, 名前=オマーン
2025-05-23 09:21:22,215 - controllers.app_controller - INFO - 国家情報を追加: TAG=PAL, 名前=パレスチナ
2025-05-23 09:21:22,215 - controllers.app_controller - INFO - 国家情報を追加: TAG=PER, 名前=ペルシャ
2025-05-23 09:21:22,215 - controllers.app_controller - INFO - 国家情報を追加: TAG=QAT, 名前=カタール
2025-05-23 09:21:22,215 - controllers.app_controller - INFO - 国家情報を追加: TAG=SAU, 名前=サウード
2025-05-23 09:21:22,215 - controllers.app_controller - INFO - 国家情報を追加: TAG=SYR, 名前=シリア
2025-05-23 09:21:22,216 - controllers.app_controller - INFO - 国家情報を追加: TAG=TRC, 名前=トルーシャル・オマーン
2025-05-23 09:21:22,216 - controllers.app_controller - INFO - 国家情報を追加: TAG=TUR, 名前=トルコ
2025-05-23 09:21:22,216 - controllers.app_controller - INFO - 国家情報を追加: TAG=YEM, 名前=イエメン
2025-05-23 09:21:22,216 - controllers.app_controller - INFO - 国家情報を追加: TAG=AST, 名前=オーストラリア
2025-05-23 09:21:22,216 - controllers.app_controller - INFO - 国家情報を追加: TAG=CAN, 名前=カナダ
2025-05-23 09:21:22,216 - controllers.app_controller - INFO - 国家情報を追加: TAG=ENG, 名前=イングランド
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=NIR, 名前=北アイルランド
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=NZL, 名前=ニュージーランド
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=SAF, 名前=南アフリカ
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=SCO, 名前=スコットランド
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=WLS, 名前=ウェールズ
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=ADU, 名前=アンダルシア
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=AUS, 名前=オーストリア
2025-05-23 09:21:22,217 - controllers.app_controller - INFO - 国家情報を追加: TAG=BAY, 名前=バイエルン
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=BEL, 名前=ベルギー
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=BRI, 名前=ブルターニュ
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=CAT, 名前=カタルーニャ
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=COR, 名前=コルシカ
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=CSA, 名前=ディキシーランド
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=CYP, 名前=キプロス
2025-05-23 09:21:22,218 - controllers.app_controller - INFO - 国家情報を追加: TAG=DEN, 名前=デンマーク
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=FRA, 名前=フランス
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=GER, 名前=ドイツ
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=GLC, 名前=ガリシア
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=HAN, 名前=ハノーファー
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=HOL, 名前=ホラント
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=ICE, 名前=アイスランド
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=IRE, 名前=アイルランド
2025-05-23 09:21:22,219 - controllers.app_controller - INFO - 国家情報を追加: TAG=ITA, 名前=イタリア
2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=LUX, 名前=ルクセンブルク
2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=MEK, 名前=メクレンブルク
2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=MLT, 名前=マルタ
2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=NAV, 名前=ナバラ
2025-05-23 09:21:22,220 - controllers.app_controller - INFO - 国家情報を追加: TAG=NOR, 名前=ノルウェー
